epoch,step,train_loss,validation_loss
0,9,41.98594665527344,
0,19,37.34311294555664,
0,29,32.92366027832031,
0,39,28.750272750854492,
0,49,24.714262008666992,
0,59,21.204498291015625,
0,69,18.01021385192871,
0,70,,17.420719146728516
1,79,14.977743148803711,
1,89,12.297799110412598,
1,99,10.04452133178711,
1,109,8.055048942565918,
1,119,6.280612468719482,
1,129,4.769954204559326,
1,139,3.4891767501831055,
1,141,,3.1534342765808105
2,149,2.424116373062134,
2,159,1.6315997838974,
2,169,0.9269313216209412,
2,179,0.45919814705848694,
2,189,0.20827604830265045,
2,199,0.14199665188789368,
2,209,0.100166454911232,
2,212,,0.08121369034051895
3,219,0.07833054661750793,
3,229,0.07288045436143875,
3,239,0.0713973268866539,
3,249,0.0644676685333252,
3,259,0.06549537926912308,
3,269,0.06435490399599075,
3,279,0.06399381905794144,
3,283,,0.06038610637187958
4,289,0.06138956546783447,
4,299,0.05850841850042343,
4,309,0.06475792825222015,
4,319,0.0687989890575409,
4,329,0.062149256467819214,
4,339,0.06422896683216095,
4,349,0.05562338978052139,
4,354,,0.06299790740013123
5,359,0.0637231096625328,
5,369,0.055585164576768875,
5,379,0.06519360840320587,
5,389,0.06190891191363335,
5,399,0.058776408433914185,
5,409,0.060192931443452835,
5,419,0.06385795772075653,
5,425,,0.06086045876145363
6,429,0.05635994300246239,
6,439,0.0572061724960804,
6,449,0.06052662432193756,
6,459,0.06472425907850266,
6,469,0.05709570646286011,
6,479,0.06340187042951584,
6,489,0.05348289757966995,
6,496,,0.051000189036130905
7,499,0.05755459517240524,
7,509,0.06130830571055412,
7,519,0.05984405800700188,
7,529,0.05732634291052818,
7,539,0.06205807253718376,
7,549,0.054366547614336014,
7,559,0.06353670358657837,
7,567,,0.05832051858305931
8,569,0.05368148162961006,
8,579,0.060150302946567535,
8,589,0.059408631175756454,
8,599,0.06375382095575333,
8,609,0.0604870468378067,
8,619,0.06191345304250717,
8,629,0.05850524455308914,
8,638,,0.058698371052742004
9,639,0.05870829522609711,
9,649,0.059552669525146484,
9,659,0.05954587087035179,
9,669,0.06366658955812454,
9,679,0.06076778098940849,
9,689,0.05837423354387283,
9,699,0.05820208042860031,
9,709,0.049213532358407974,
9,709,,0.05162806063890457
